sample,latitude,longitude,elevation,mean_date,"minus (Ma, 2.5% C.I.)","plus (Ma, 97.5% C.I.)",twosigma
RBCQ,22.36098,75.72529,606,66.15,0.067,0.065,0.066
RBCN,22.4141,75.58862,554,66.199,0.074,0.055,0.0645
RBCL,22.38527,75.5311,447,66.25,0.052,0.039,0.0455
RBCJ2,22.37889,75.53228,417,66.256,0.042,0.034,0.038
RBCI,22.37673,75.53067,383,66.275,0.053,0.066,0.0595
RBBZ,22.29716,75.37197,263,66.32,0.057,0.057,0.057
RBCF,22.30058,75.50123,237,66.358,0.07,0.065,0.0675
