NAIP Main Region,NAIP Sub-province,Locality 1,Locality 2,Latitude,Longitude,LatLong_accuracy,Formation_Unit,Lithology,Type,Original Reported Sample Number,Geochronological Method,Mineral/Phase,Authors,Chemical Geology,241,264-281,Age_included_selected dataset_second level,Preferred age calculation method,Re-calibrated Age_NAGTEC,Re-calibrated Error (± 1σ)_NAGTEC,Change_age_after_recalibration,Reported Age_Original Reference,Reported Error_Original Reference,Comment,Comment 2,40K/K_ratio (atom per cent),K2O(%),K2O(± 1σ%),Radiogenic_Ar(%),Plateau MSWD,40Ar/39Ar_Alternative_Age_Calculation_Method,40Ar/39Ar_Alternative_Age,40Ar/39Ar_Alternative_Age (± 1σ),%39Ar_Step heating_spectrum,40Ar/36Ar_Inverse_Isochron_Intercept,40Ar/36Ar_Inverse_Isochron_Intercept (± 1σ),MSWD_Isochron,40Ar/39Ar_Monitor_Mineral,40Ar/39Ar_Monitor_Age,40Ar/39Ar_Monitor (± 1σ),Literature_Reference_Monitor,"Proper_Plateau(39Ar50%,overlap2σ,3steps_minimum)"
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,Sample89068,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,57.49,0.3,0.69,56.8,0.3,Lower Series - close to top of Lower Series,,,,,,,Ar/Ar Isochron age,56.7,0.4,82,303,21,0.5,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,SampleL1-0337.5,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,60.63,0.35,0.73,59.9,0.35,"Lower Series, Lopra drill hole - over half way of drill hole",,,,,,,Ar/Ar Isochron age,59.1,1.15,88,335,61.5,2.3,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,61.42,-6.8,Approximate,Lower Series,Basalt,Extrusive,SampleL1-1923.1,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,60.83,0.3,0.73,60.1,0.3,"Lower Series, Lopra drill hole - bottom of drill hole",,,,,,,Ar/Ar Isochron age,60.8,0.6,56,277,14,1.2,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,62,-6.75,Approximate,Upper Series,Basalt,Extrusive,Sample32/2,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Chemical Geology,241,264-281,Y,Ar/Ar Plateau age,55.87,0.35,0.67,55.2,0.35,Upper Series,,,,,,,Ar/Ar Isochron age,55.3,0.4,100,292,3.5,1,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Faeroe Islands,Faeroe Islands,,Faeroe Islands,62,-6.75,Approximate,Middle Series,Basalt,Extrusive,SampleX/2,Ar/Ar,Plagioclase         ,"Storey, M., Duncan, R.A. and Tegner, C.",Earth and Planetary Science Letters,156,75-88,Y,Ar/Ar Plateau age,55.57,0.35,0.67,54.9,0.35,Middle Series,,,,,,,Ar/Ar Isochron age,55,0.5,100,291,8,1.3,Fish Canyon Tuff-3 Biotite,28.03,0.16,"Renne et al., Chemical Geology V145, 117-552 (1998)",Proper plateau
Greenland,East Greenland,,Igtutarajik         ,67.35,-32.5,Approximate,Layered Gabbro Complexes,Pegmatite (Gabbro),Intrusive,Sample I-7,Ar/Ar,Biotite             ,"Tegner, C., Duncan, R.A., Bernstein, S., Brooks, C.K., Bird, D.K. and Storey, M.",Earth and Planetary Science Letters,156,75-88,Y,Ar/Ar Plateau age,47.9,0.2,0.9,47,0.2,"Sample I-7, plateau age, similar isochron (no MSWD)",,,,,,,,47,0.3,,285,19,,Fish Canyon Tuff-3 Biotite,27.84,0.12,"Berggren et al., in: Berggren et al. (eds.), Geochronology, time scales and global stratigraphic correlation, Soc. Sed. Geol., Tulsa, OK, V54, 129-212, (1995)",Proper plateau
Greenland,East Greenland,,Sorgenfri Gletscher ,68.35,-32,Approximate,Sorgenfri Glerscher Sill Complex,Sill (Diabase),Intrusive,Sample413907,Ar/Ar,Plagioclase         ,"Tegner, C., Duncan, R.A., Bernstein, S., Brooks, C.K., Bird, D.K. and Storey, M.",Earth and Planetary Science Letters,146,645-658,Y,Ar/Ar Plateau age,57.07,0.4,1.07,56,0.4,"Sample 413907, plateau age, similar isochron (no MSWD)",,,,,,,,56.2,1.1,,280,41,,Fish Canyon Tuff-3 Biotite,27.84,0.12,"Berggren et al., in: Berggren et al. (eds.), Geochronology, time scales and global stratigraphic correlation, Soc. Sed. Geol., Tulsa, OK, V54, 129-212, (1995)",Proper plateau
Greenland,East Greenland,,Skærgaard           ,68.2,-31.7,Approximate,,Granophyre,Intrusive,SG-61 Biotite,Ar/Ar,Biotite             ,"Hirschmann, M.M., Renne, P.R. and McBirney, A.R.",Earth and Planetary Science Letters,146,645-658,Y,Ar/Ar Inverse isochron age,55.74,0.72,0.34,55.4,0.34,,,,,,,,,55.4,0.72,,291.1,7.2,0.85,Fish Canyon Tuff Sanidine,28.03,0.18,"Renne et al., Geology V22, 783-786 (1994)",
Greenland,East Greenland,,Skærgaard           ,68.2,-31.7,Approximate,,Granophyre,Intrusive,SG-61 Hornblende,Ar/Ar,Hornblende,"Hirschmann, M.M., Renne, P.R. and McBirney, A.R.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,55.82,0.76,0.34,55.48,0.34,,,,,,,,,55.48,0.76,,292.4,19,0.17,Fish Canyon Tuff Sanidine,28.03,0.18,"Renne et al., Geology V22, 783-786 (1994)",
Greenland,East Greenland,,Kangerlussuaq,68.18,-32.37,Approximate,,Biotite Granite,Intrusive,Sample333132,Ar/Ar,Biotite             ,"Tegner, C., Brooks, C.K., Duncan, R.A., Heister, L.E. and Bernstein, S.",Lithos,101,480-500,Y,Ar/Ar Inverse isochron age,47.19,0.45,0.59,46.6,0.45,"Reference says FCT-3 Biotite is standard used - but Renne et al., 1998 only has calibrated age for FC sanidine. We assumed they used 28.02 --> FCs compatible age. ",,,,,,,,46.6,0.45,98,279,34,2.4,Fish Canyon Tuff Sanidine,28.02,,"Renne et al., Chemical Geology V145, 117-552 (1998)",
