date,twosigma
61.86,1
,
,
61.55,1
,
61.45,0.8
,
61.65,0.8
,
,
38.9,0.23
,
,
38.57,0.24
,
,
38.7,2.1
,
54.86,0.44
,
,
55.91,0.6
,
,
57.51,0.24
,
57.98,0.59
,
58.05,0.59
,
59.41,0.61
,
53.47,0.52
55.94,0.2
59.97,0.89
,
54.03,0.33
,
,
54.86,0.32
,
56.15,0.41
,
,
58.31,0.3
,
,
58.66,0.34
,
,
61.34,1.16
,
59.69,1.33
,
54.62,0.6
,
57.43,2.59
,
58.34,0.4
,
58.96,0.51
,
,
55.84,0.8
,
48.02,2.76
,
54.52,0.67
,
56.42,1.6
,
34.75,0.4
55.21,0.3
56.99,0.49
51.46,1.8
,
58.11,1.2
,
55.43,1.2
,
63.58,2.6
,
60.4,1.6
,
55.73,0.4
55.77,0.5
,
56.08,0.9
,
55.84,0.43
,
,
56.79,0.5
,
55.77,0.5
,
,
55.57,0.9
,
55.67,0.4
,
55.69,0.3
,
,
58.4,0.5
,
57.49,2.3
,
58.36,0.48
,
,
13.56,0.4
,
55.74,1.44
,
55.82,1.52
,
,
47.9,0.4
57.07,0.8
62.15,1
,
59.01,0.9
,
58.2,1.2
,
,
,
,
47.19,0.9
,
51.44,1.1
,
55.79,1.4
,
53.46,1.3
49.09,0.48
43.77,1.08
,
55.42,0.92
,
53.8,0.76
,
55.02,0.49
,
54.16,0.72
,
55.52,0.68
,
53.54,0.67
,
56.51,0.49
55.17,0.35
,
49.8,1.38
,
53.4,1.83
,
51.85,0.55
,
53.71,0.62
,
53.98,0.39
,
20.31,0.12
,
52.58,0.66
,
55.14,0.37
,
53.68,1.59
,
,
51.27,1.21
,
48.71,0.51
55.87,0.7
55.57,0.7
57.49,0.6
60.63,0.7
,
60.83,0.6
60.53,0.08
,
61.05,1
,
61.08,0.42
,
,
58.91,0.06
58.51,1.2
,
60.71,3.2
61.83,2.8
62.13,2.8
60.41,1.8
59.08,3.2
57.21,1.6
56.7,2
,
57.71,2.2
52.24,0.8
,
62.71,0.6
,
48.81,1.7
,
41.57,0.6
,
52.64,0.07
,
53.75,0.9
,
53.34,1.5
,
42.78,0.4
,
45.91,0.22
59.49,1.6
