Sample,Fm,Section,Age,1_sigma_internal,1_sigma_external,number,elevation,latitude,longitude
KAS15-2,Jawhar,KAS,66.234,0.084,0.093,38/68,281 m,19.6668º,73.5110º
KAS15-3,Jawhar,KAS,66.413,0.067,0.079,45/66,248 m,19.6388º,073.4832º
MG7 (36923),Neral,MAT,66.153,0.05,0.066,36/53,166 m,19.0073°,73.3089°
BOR14-1 (36924),Thak.,BOR,65.912,0.068,0.079,38/53,110 m,18.7838°,73.3498°
KHK15-1,Bhim.,BOR,66.171,0.076,0.088,36/44,403 m,18.7621°,73.3522°
MAT14-6,Khandala,MAT,66.105,0.102,0.112,53/78,620 m,19.0016°,73.2856°
MAT14-7,Khandala,MAT,66.158,0.082,0.093,57/78,688 m,19.0016°,73.2856°
VER14-3 (36925),Bushe,VER,65.973,0.107,0.116,55/81,,,
VER14-3 (37177),Bushe,VER,65.975,0.138,0.145,31/72,,,
VER14-3,Pooled,,65.974,0.084,0.093,,30 m,18.0788°,73.4683°
POL15-2,Bushe,AMB,66.059,0.079,0.09,43/73,40 m,17.9786°,73.4648°
KJA14-1,Poladpur,KJA,65.977,0.151,0.158,105/108,687 m,18.4350°,73.8595°
KJA15-1 (37246),Poladpur,KJA,66.047,0.364,0.374,37/54,,,
KJA15-1 (37247),Poladpur,KJA,65.794,0.661,0.677,11-Jul,,,
KJA15-1,Pooled,,65.988,0.319,0.329,,742 m,18.4219°,73.8460°
KJA14-2 (36937),Poladpur,KJA,65.92,0.146,0.155,53/78,,,
KJA14-2 (36946),Poladpur,KJA,65.953,0.119,0.127,38/67,,,
KJA14-2,Pooled,,65.94,0.092,0.101,,880 m,18.40117°,73.8565°
POL15-1 (37248),Poladpur,AMB,66.118,0.281,0.288,16/22,,,
POL15-1 (37249),Poladpur,AMB,66.109,0.184,0.189,56/71,,,
POL15-1,Pooled,,66.112,0.154,0.162,,99 m,17.9833°,73.4579°
AMB14-4,Ambenali,AMB,65.968,0.248,0.254,28/72,355 m,17.9332°,73.6497°
AMB14-5,Ambenali,AMB,65.733,0.181,0.188,50/71,468 m,17.9342°,73.5545°
AMB15-1 (37260),Ambenali,AMB,65.743,0.126,0.132,30/44,,,
AMB15-1 (37259),Ambenali,AMB,65.503,0.186,0.196,20/22,,,
AMB15-1,Pooled,,65.667,0.104,0.114,,625 m,17.9399°,73.5723°
AMB14-13,Mahab.,AMB,65.521,0.065,0.078,65/88,1092 m,17.9151°,73.6244°
AMB14-14,Mahab.,AMB,65.466,0.1,0.11,40/75,1170 m,17.9174°,73.6308°
PAN15-3,Mahab.,ABO,65.422,0.103,0.112,51/68,737 m,16.2579°,74.1624°
